Famille	Protéine	Relation
MHC class I family	1B35_HUMAN	familiale
MHC class I family	1B40_HUMAN	familiale
MHC class I family	1B44_HUMAN	familiale
MHC class I family	1B50_HUMAN	familiale
MHC class I family	1B54_HUMAN	familiale
MHC class I family	1B67_HUMAN	familiale
MHC class I family	1B78_HUMAN	familiale
MHC class I family	1C07_HUMAN	familiale
MHC class I family	1C14_HUMAN	familiale
MHC class I family	1C17_HUMAN	familiale
MHC class I family	41_HUMAN	familiale
AB hydrolase superfamily, ABHD14 family	ABHEB_MOUSE	familiale
AB hydrolase superfamily, ABHD14 family	ABHEB_HUMAN	familiale
AB hydrolase superfamily, ABHD14 family	ABLM2_HUMAN	familiale
AB hydrolase superfamily, ABHD14 family	ABLM3_MOUSE	familiale
AB hydrolase superfamily, ABHD14 family	ABR_HUMAN	familiale
Hedgehog family	SHH_MOUSE	familiale
THEM4/THEM5 thioesterase family	ACO15_HUMAN	familiale
ATP-dependent AMP-binding enzyme family, Bubblegum subfamily	ACBG1_MOUSE	familiale
ATP-dependent AMP-binding enzyme family, Bubblegum subfamily	ACBG2_HUMAN	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Epsilon/CHRNE sub-subfamily	ACHE_MOUSE	familiale
Fatty acid desaturase type 1 family	ACOD2_MOUSE	familiale
Fatty acid desaturase type 1 family	ACOD1_MOUSE	familiale
Fatty acid desaturase type 1 family	ACOD_HUMAN	familiale
Cytidine and deoxycytidylate deaminase family	ABC3A_HUMAN	familiale
Cytidine and deoxycytidylate deaminase family	ABEC1_MOUSE	familiale
Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	ACVL1_HUMAN	familiale
Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	ADA10_HUMAN	familiale
Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	ADA19_HUMAN	familiale
Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	ACV1B_MOUSE	familiale
Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	ACV1C_HUMAN	familiale
Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	ACVR1_HUMAN	familiale
APP family	A4_HUMAN	familiale
Type-B carboxylesterase/lipase family	ACES_MOUSE	familiale
Type-B carboxylesterase/lipase family	ACES_HUMAN	familiale
Thioesterase PaaI family	ACO13_MOUSE	familiale
5'(3')-deoxyribonucleotidase family	5NTC_MOUSE	familiale
5'(3')-deoxyribonucleotidase family	5NTC_HUMAN	familiale
Acyl coenzyme A hydrolase family	ACOT9_MOUSE	familiale
AB hydrolase superfamily, AB hydrolase 4 family	ABH15_MOUSE	familiale
AB hydrolase superfamily, AB hydrolase 4 family	ABHD3_MOUSE	familiale
Protein kinase superfamily, CAMK Ser/Thr protein kinase family	TITIN_HUMAN	familiale
Protein kinase superfamily, CAMK Ser/Thr protein kinase family	BRCA1_HUMAN	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Beta-4/CHRNB4 sub-subfamily	ACHB4_HUMAN	familiale
Adipolin/erythroferrone family	ADIPL_MOUSE	familiale
Adipolin/erythroferrone family	ADM1A_MOUSE	familiale
Beta-catenin family	CTNB1_MOUSE	familiale
Beta-catenin family	CTNB1_HUMAN	familiale
Protein kinase superfamily, Tyr protein kinase family, ABL subfamily	ABL2_HUMAN	familiale
Actin family, ARP1 subfamily	ACTZ_HUMAN	familiale
P53 family	P53_HUMAN	familiale
P53 family	P53_MOUSE	familiale
P53 family	PTEN_HUMAN	familiale
5'-AMP-activated protein kinase gamma subunit family	AAKG3_MOUSE	familiale
5'-AMP-activated protein kinase gamma subunit family	AAKG1_MOUSE	familiale
5'-AMP-activated protein kinase gamma subunit family	AAKG3_HUMAN	familiale
5'-AMP-activated protein kinase gamma subunit family	AARD_MOUSE	familiale
Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily	AKT1_HUMAN	familiale
Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily	AKT2_MOUSE	familiale
Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily	AKTS1_MOUSE	familiale
Protein kinase superfamily, AGC Ser/Thr protein kinase family, RAC subfamily	AL14E_HUMAN	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-2/CHRNA2 sub-subfamily	ACHA2_MOUSE	familiale
G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRA1D sub-subfamily	ADA1D_MOUSE	familiale
Ligand-gated ion channel (TC 1.A.9) family, Acetylcholine receptor (TC 1.A.9.1) subfamily, Alpha-4/CHRNA4 sub-subfamily	ACHA4_MOUSE	familiale
ALG10 glucosyltransferase family	AG10A_HUMAN	familiale
ALG10 glucosyltransferase family	AG10B_MOUSE	familiale
C/M/P thioester hydrolase family	ACOT1_HUMAN	familiale
C/M/P thioester hydrolase family	ACOT2_HUMAN	familiale
C/M/P thioester hydrolase family	ACOT6_HUMAN	familiale
C/M/P thioester hydrolase family	ACOT8_MOUSE	familiale
C/M/P thioester hydrolase family	ACNT1_MOUSE	familiale
C/M/P thioester hydrolase family	ACO12_MOUSE	familiale
C/M/P thioester hydrolase family	ACOT6_MOUSE	familiale
RBR family, Parkin subfamily	PRKN2_HUMAN	familiale
AF4 family	AFF1_MOUSE	familiale
AF4 family	AFF2_MOUSE	familiale
AF4 family	AFF3_MOUSE	familiale
AF4 family	AFF4_MOUSE	familiale
ATP-dependent AMP-binding enzyme family	ACSL1_HUMAN	familiale
ATP-dependent AMP-binding enzyme family	ACSL6_HUMAN	familiale
ATP-dependent AMP-binding enzyme family	AACS_HUMAN	familiale
ATP-dependent AMP-binding enzyme family	ACS2B_HUMAN	familiale
ATP-dependent AMP-binding enzyme family	ACSF3_MOUSE	familiale
ATP-dependent AMP-binding enzyme family	ACSM1_HUMAN	familiale
ATP-dependent AMP-binding enzyme family	ACSM3_HUMAN	familiale
ATP-dependent AMP-binding enzyme family	ACSM4_HUMAN	familiale
ATP-dependent AMP-binding enzyme family	AACS_MOUSE	familiale
